Input File,Processed From,Processed To,Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g16_c02.avi,Gaussian,39.18,0.9935,0.1543,0.0021
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g09_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g09_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g09_c02.avi,Gaussian,39.3,0.9938,0.1455,0.0019
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g24_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g24_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g24_c01.avi,Gaussian,39.14,0.9943,0.1426,0.0024
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g17_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g17_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g17_c02.avi,Gaussian,39.73,0.9938,0.1478,0.0019
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c07.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c07.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c07.avi,Gaussian,39.44,0.9941,0.1452,0.0021
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g19_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g19_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g19_c04.avi,Gaussian,39.42,0.997,0.1412,0.0022
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g15_c03.avi,Gaussian,39.56,0.9966,0.143,0.0019
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g25_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g25_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g25_c01.avi,Gaussian,39.51,0.9957,0.1477,0.0019
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g16_c04.avi,Gaussian,39.19,0.9935,0.1543,0.0019
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c02.avi,Gaussian,39.32,0.9943,0.1474,0.002
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g11_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g11_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g11_c01.avi,Gaussian,39.79,0.9972,0.1455,0.0027
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g02_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g02_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g02_c04.avi,Gaussian,39.9,0.9971,0.1457,0.002
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g21_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g21_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g21_c02.avi,Gaussian,39.64,0.9966,0.1368,0.0022
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g13_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g13_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g13_c02.avi,Gaussian,39.85,0.9972,0.1416,0.0027
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g06_c01.avi,Gaussian,39.52,0.997,0.1433,0.0025
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g18_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g18_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g18_c04.avi,Gaussian,39.39,0.9942,0.1472,0.0027
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c04.avi,Gaussian,39.45,0.9941,0.1451,0.0025
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g12_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g12_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g12_c04.avi,Gaussian,39.2,0.9953,0.1598,0.002
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g15_c02.avi,Gaussian,39.5,0.9967,0.1434,0.0026
