Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,39.75,0.9969,0.1401,0.0027
Gaussian,39.54,0.9971,0.1395,0.0021
Gaussian,39.25,0.9963,0.1478,0.0019
Gaussian,39.38,0.9959,0.1497,0.0018
Gaussian,39.44,0.9974,0.1414,0.0018
Gaussian,39.49,0.997,0.1346,0.0019
Gaussian,39.1,0.9968,0.1486,0.0018
Gaussian,39.73,0.9977,0.1331,0.0018
Gaussian,39.75,0.9971,0.1439,0.0019
Gaussian,39.48,0.9964,0.143,0.0018
Gaussian,39.59,0.9965,0.1405,0.0018
Gaussian,39.66,0.9978,0.1335,0.0018
Gaussian,39.8,0.9973,0.1425,0.0018
Gaussian,39.62,0.9961,0.1408,0.0019
Gaussian,39.68,0.9975,0.141,0.0019
Gaussian,39.5,0.9964,0.1389,0.0018
Gaussian,39.45,0.9973,0.1351,0.0018
Gaussian,39.5,0.9966,0.1441,0.0018
Gaussian,39.56,0.997,0.1442,0.0018
Gaussian,39.18,0.9957,0.1492,0.0018
Gaussian,39.39,0.9974,0.1419,0.0018
Gaussian,39.75,0.9967,0.1375,0.0018
Gaussian,39.62,0.9974,0.1359,0.0018
Gaussian,39.8,0.9975,0.1383,0.0018
Gaussian,39.75,0.9974,0.1388,0.0018
Gaussian,39.69,0.9976,0.1397,0.0018
Gaussian,39.64,0.9965,0.1415,0.0018
Gaussian,39.51,0.9965,0.1448,0.0018
Gaussian,39.74,0.9975,0.1394,0.0018
Gaussian,39.72,0.9978,0.1322,0.0018
Gaussian,39.5,0.9976,0.1342,0.0018
Gaussian,39.23,0.9964,0.1509,0.0018
Gaussian,39.51,0.9971,0.134,0.0018
Gaussian,39.68,0.9949,0.144,0.0018
Gaussian,39.66,0.9977,0.1341,0.0018
Gaussian,39.5,0.9976,0.1397,0.0018
Gaussian,39.64,0.9974,0.1418,0.0018
Gaussian,39.71,0.9974,0.1393,0.0018
Gaussian,39.65,0.9954,0.1435,0.0018
Gaussian,39.77,0.9974,0.1417,0.0018
Gaussian,39.62,0.9958,0.1401,0.0018
Gaussian,39.32,0.9963,0.1506,0.0019
Gaussian,39.4,0.9967,0.1423,0.0023
Gaussian,39.63,0.9976,0.1332,0.0023
Gaussian,39.67,0.9979,0.1321,0.0018
Gaussian,39.8,0.9973,0.1429,0.0018
Gaussian,39.89,0.9974,0.1402,0.0018
Gaussian,39.95,0.9977,0.1358,0.0019
Gaussian,39.85,0.9973,0.1425,0.0019
Gaussian,39.63,0.9966,0.1412,0.0018
Gaussian,39.52,0.9965,0.1449,0.0018
Gaussian,39.78,0.9975,0.142,0.0018
Gaussian,39.68,0.9975,0.1368,0.0019
Gaussian,39.55,0.9967,0.1447,0.0027
Gaussian,39.72,0.9974,0.1402,0.002
Gaussian,39.73,0.997,0.1414,0.0018
Gaussian,39.45,0.9968,0.1405,0.0018
Gaussian,39.6,0.9964,0.1423,0.0018
Gaussian,39.69,0.9969,0.14,0.0018
Gaussian,39.43,0.9969,0.1376,0.0018
Gaussian,39.46,0.9974,0.1365,0.0019
Gaussian,39.42,0.9962,0.1436,0.0018
Gaussian,39.69,0.9959,0.1404,0.0018
Gaussian,39.49,0.9966,0.1427,0.0018
Gaussian,39.62,0.9973,0.1375,0.0018
Gaussian,39.67,0.9977,0.1358,0.0018
Gaussian,39.49,0.9966,0.1407,0.0018
Gaussian,39.71,0.9976,0.141,0.0018
Gaussian,39.54,0.9974,0.1363,0.0018
Gaussian,39.67,0.9966,0.1402,0.0018
Gaussian,39.64,0.9966,0.1411,0.0022
Gaussian,39.88,0.9972,0.1429,0.0027
Gaussian,39.83,0.9971,0.1411,0.0019
Gaussian,39.91,0.9975,0.1398,0.0018
Gaussian,39.6,0.9953,0.1421,0.0018
Gaussian,40.0,0.9974,0.1422,0.0018
Gaussian,39.39,0.9972,0.1392,0.0018
Gaussian,39.44,0.9963,0.1456,0.0018
Gaussian,39.58,0.9969,0.1376,0.0018
Gaussian,40.02,0.9974,0.1422,0.0018
Gaussian,39.43,0.9974,0.1375,0.0018
Gaussian,39.65,0.9974,0.1357,0.0018
Gaussian,39.54,0.997,0.1378,0.0018
Gaussian,39.8,0.9973,0.1403,0.0027
Gaussian,39.71,0.9977,0.1367,0.0027
Gaussian,39.47,0.9964,0.1421,0.0021
Gaussian,39.78,0.9966,0.1404,0.0018
Gaussian,39.74,0.9975,0.1389,0.0018
Gaussian,39.8,0.9973,0.1371,0.0018
Gaussian,39.54,0.9969,0.1375,0.0019
Gaussian,39.75,0.9976,0.1332,0.0019
Gaussian,39.77,0.9974,0.1391,0.0018
Gaussian,39.68,0.9961,0.1392,0.0018
Gaussian,39.54,0.9966,0.1441,0.0018
Gaussian,39.68,0.9975,0.1344,0.0018
Gaussian,39.55,0.9957,0.1408,0.0018
Gaussian,39.76,0.9977,0.1371,0.0018
Gaussian,39.66,0.9966,0.1416,0.0019
Gaussian,39.27,0.9966,0.1426,0.0018
Gaussian,39.49,0.9965,0.1432,0.0018
Gaussian,39.75,0.9976,0.1417,0.0019
Gaussian,39.69,0.9976,0.1402,0.0018
Gaussian,39.45,0.9963,0.1449,0.0018
Gaussian,39.56,0.9975,0.1362,0.0018
Gaussian,39.79,0.9974,0.1416,0.0019
Gaussian,39.74,0.9963,0.1409,0.0018
Gaussian,39.93,0.9974,0.1401,0.0018
Gaussian,39.28,0.9958,0.1476,0.0019
Gaussian,39.75,0.9972,0.1383,0.0019
Gaussian,39.66,0.9975,0.1356,0.0018
Gaussian,39.35,0.9966,0.1431,0.0018
Gaussian,39.61,0.9945,0.1457,0.0018
Gaussian,39.75,0.9978,0.1361,0.0019
Gaussian,39.57,0.9973,0.1414,0.0018
Gaussian,39.65,0.9974,0.1362,0.0018
Gaussian,39.42,0.997,0.1365,0.0021
Gaussian,39.82,0.9973,0.1414,0.0018
Gaussian,39.91,0.9965,0.1406,0.0016
Gaussian,39.8,0.9977,0.1331,0.0018
Gaussian,39.9,0.9973,0.1409,0.0018
Gaussian,39.84,0.9971,0.1417,0.0018
Gaussian,39.81,0.9973,0.1397,0.0018
Gaussian,39.44,0.9971,0.1368,0.0018
Gaussian,39.74,0.9978,0.1368,0.0018
Gaussian,39.84,0.9973,0.1398,0.0018
Gaussian,39.53,0.9969,0.1448,0.0018
Gaussian,39.65,0.9948,0.1446,0.0018
Gaussian,39.71,0.9973,0.1361,0.0018
Gaussian,40.03,0.9976,0.1422,0.0018
Gaussian,39.57,0.9976,0.1352,0.0018
Gaussian,39.74,0.9978,0.1372,0.0018
Gaussian,39.0,0.9938,0.1635,0.0018
Gaussian,39.71,0.9967,0.1454,0.0018
Gaussian,39.17,0.9941,0.1481,0.0018
Gaussian,38.82,0.9921,0.1601,0.0018
Gaussian,39.72,0.9968,0.1465,0.0018
Gaussian,39.19,0.9941,0.1473,0.0018
Gaussian,39.31,0.9937,0.1472,0.0018
Gaussian,38.69,0.9926,0.1681,0.0018
Gaussian,39.0,0.9939,0.1618,0.0018
Gaussian,39.07,0.9933,0.1507,0.0018
Gaussian,39.13,0.9935,0.149,0.002
Gaussian,39.25,0.9957,0.1487,0.0019
Gaussian,39.03,0.996,0.1432,0.0018
Gaussian,39.72,0.9964,0.1443,0.0019
Gaussian,39.7,0.9965,0.1463,0.0018
Gaussian,39.4,0.9946,0.1441,0.0018
Gaussian,39.39,0.9973,0.1473,0.0018
Gaussian,38.98,0.9937,0.163,0.0018
Gaussian,39.24,0.9941,0.15,0.0018
Gaussian,39.64,0.9965,0.1476,0.0018
Gaussian,39.18,0.9942,0.147,0.0018
Gaussian,39.22,0.9942,0.1464,0.0019
Gaussian,39.32,0.9945,0.1458,0.0018
Gaussian,39.42,0.9943,0.1457,0.0018
Gaussian,39.73,0.9964,0.1443,0.0019
Gaussian,39.02,0.9937,0.1551,0.0019
Gaussian,38.91,0.9922,0.1588,0.0019
Gaussian,39.37,0.9973,0.1487,0.0018
Gaussian,39.03,0.9958,0.1632,0.0019
Gaussian,38.81,0.9921,0.1597,0.0018
Gaussian,39.62,0.9965,0.148,0.0018
Gaussian,39.33,0.9937,0.1539,0.0018
