Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,41.37,0.9982,0.0958,0.0063
Gaussian,41.09,0.9984,0.0965,0.0064
Gaussian,40.8,0.9979,0.1023,0.0065
Gaussian,40.95,0.9978,0.1021,0.0064
Gaussian,40.94,0.9985,0.0993,0.0063
Gaussian,41.1,0.9983,0.0928,0.0063
Gaussian,40.56,0.9981,0.1056,0.0063
Gaussian,41.26,0.9987,0.0924,0.0063
Gaussian,41.31,0.9984,0.0988,0.0063
Gaussian,41.09,0.998,0.098,0.0063
Gaussian,41.22,0.9981,0.0961,0.0063
Gaussian,41.21,0.9987,0.0923,0.0063
Gaussian,41.42,0.9985,0.0972,0.0065
Gaussian,41.28,0.9979,0.0957,0.0063
Gaussian,41.29,0.9986,0.0971,0.0063
Gaussian,41.12,0.9981,0.0952,0.0063
Gaussian,41.02,0.9985,0.0938,0.0065
Gaussian,41.06,0.9981,0.099,0.0063
Gaussian,41.07,0.9983,0.0996,0.0063
Gaussian,40.72,0.9976,0.1033,0.0064
Gaussian,40.88,0.9985,0.0997,0.0063
Gaussian,41.37,0.9982,0.0938,0.0063
Gaussian,41.2,0.9985,0.0939,0.0063
Gaussian,41.39,0.9986,0.0948,0.0063
Gaussian,41.34,0.9985,0.0953,0.0063
Gaussian,41.27,0.9986,0.0968,0.0063
Gaussian,41.2,0.9981,0.0969,0.0064
Gaussian,41.07,0.998,0.0995,0.0064
Gaussian,41.35,0.9985,0.0956,0.0064
Gaussian,41.26,0.9987,0.0915,0.0063
Gaussian,41.06,0.9986,0.0935,0.0063
Gaussian,40.77,0.998,0.1044,0.0063
Gaussian,41.12,0.9984,0.0923,0.0065
Gaussian,41.38,0.9973,0.0964,0.0063
Gaussian,41.21,0.9987,0.0927,0.0063
Gaussian,41.0,0.9986,0.0978,0.0063
Gaussian,41.2,0.9985,0.0976,0.0063
Gaussian,41.31,0.9985,0.0957,0.0063
Gaussian,41.31,0.9975,0.0973,0.0063
Gaussian,41.34,0.9985,0.0976,0.0063
Gaussian,41.26,0.9977,0.0949,0.0065
Gaussian,40.86,0.9979,0.1038,0.0063
Gaussian,40.96,0.9981,0.0988,0.0063
Gaussian,41.18,0.9987,0.0921,0.0064
Gaussian,41.19,0.9988,0.0917,0.0063
Gaussian,41.44,0.9985,0.0979,0.0064
Gaussian,41.5,0.9986,0.0956,0.0063
Gaussian,41.52,0.9987,0.0927,0.0063
Gaussian,41.53,0.9985,0.0974,0.0063
Gaussian,41.24,0.9981,0.0967,0.0063
Gaussian,41.06,0.9981,0.0998,0.0064
Gaussian,41.43,0.9986,0.0971,0.0063
Gaussian,41.27,0.9986,0.0942,0.0063
Gaussian,41.12,0.9981,0.0993,0.0063
Gaussian,41.33,0.9985,0.0962,0.0064
Gaussian,41.32,0.9983,0.0968,0.0064
Gaussian,41.02,0.9982,0.0973,0.0063
Gaussian,41.16,0.998,0.0973,0.0063
Gaussian,41.32,0.9983,0.0958,0.0063
Gaussian,40.99,0.9983,0.0948,0.0064
Gaussian,40.99,0.9985,0.0948,0.0063
Gaussian,41.0,0.9979,0.0991,0.0064
Gaussian,41.34,0.9978,0.0953,0.0063
Gaussian,41.09,0.9981,0.098,0.0063
Gaussian,41.16,0.9985,0.0952,0.0063
Gaussian,41.23,0.9987,0.0939,0.0063
Gaussian,41.09,0.9981,0.0968,0.0063
Gaussian,41.32,0.9986,0.0969,0.0064
Gaussian,41.15,0.9985,0.0941,0.0063
Gaussian,41.32,0.9981,0.0956,0.0063
Gaussian,41.27,0.9981,0.0965,0.0063
Gaussian,41.61,0.9985,0.0967,0.0063
Gaussian,41.46,0.9984,0.096,0.0063
Gaussian,41.55,0.9986,0.0954,0.0063
Gaussian,41.2,0.9975,0.0961,0.0063
Gaussian,41.75,0.9986,0.096,0.0063
Gaussian,40.92,0.9984,0.0967,0.0064
Gaussian,40.98,0.9979,0.1009,0.0063
Gaussian,41.18,0.9983,0.0945,0.0063
Gaussian,41.78,0.9986,0.0959,0.0063
Gaussian,40.96,0.9985,0.0956,0.0063
Gaussian,41.22,0.9985,0.0937,0.0063
Gaussian,41.13,0.9983,0.0948,0.0062
Gaussian,41.38,0.9985,0.096,0.0062
Gaussian,41.27,0.9987,0.0946,0.0063
Gaussian,41.08,0.998,0.0973,0.0062
Gaussian,41.39,0.9981,0.0957,0.0062
Gaussian,41.34,0.9986,0.0953,0.0063
Gaussian,41.41,0.9985,0.094,0.0062
Gaussian,41.13,0.9983,0.0946,0.0062
Gaussian,41.29,0.9986,0.0923,0.0062
Gaussian,41.36,0.9985,0.0955,0.0062
Gaussian,41.31,0.9979,0.0944,0.0063
Gaussian,41.1,0.9981,0.099,0.0062
Gaussian,41.23,0.9986,0.0928,0.0063
Gaussian,41.2,0.9977,0.0954,0.0063
Gaussian,41.33,0.9987,0.0947,0.0062
Gaussian,41.23,0.9981,0.0969,0.0062
Gaussian,40.78,0.9981,0.0991,0.0063
Gaussian,41.1,0.9981,0.0981,0.0062
Gaussian,41.37,0.9986,0.0973,0.0064
Gaussian,41.3,0.9986,0.0964,0.0063
Gaussian,40.96,0.9979,0.1005,0.0064
Gaussian,41.15,0.9986,0.094,0.0063
Gaussian,41.41,0.9985,0.0968,0.0064
Gaussian,41.37,0.998,0.0959,0.0064
