Input File,Processed From,Processed To,Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g16_c02.avi,Gaussian,25.25,0.794,0.3942,0.0113
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g09_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g09_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g09_c02.avi,Gaussian,25.46,0.8173,0.4049,0.0114
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g24_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g24_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g24_c01.avi,Gaussian,25.43,0.8249,0.4154,0.0114
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g17_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g17_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g17_c02.avi,Gaussian,25.07,0.8254,0.3867,0.0112
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c07.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c07.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c07.avi,Gaussian,25.14,0.8219,0.4022,0.0112
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g19_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g19_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g19_c04.avi,Gaussian,25.19,0.8775,0.4068,0.0112
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g15_c03.avi,Gaussian,25.18,0.8637,0.4055,0.011
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g25_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g25_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g25_c01.avi,Gaussian,24.99,0.8427,0.3945,0.011
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g16_c04.avi,Gaussian,25.26,0.7943,0.3941,0.0114
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c02.avi,Gaussian,25.31,0.828,0.4027,0.0116
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g11_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g11_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g11_c01.avi,Gaussian,24.92,0.8664,0.3759,0.0118
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g02_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g02_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g02_c04.avi,Gaussian,24.74,0.8631,0.3748,0.0118
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g21_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g21_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g21_c02.avi,Gaussian,25.46,0.8816,0.4132,0.0114
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g13_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g13_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g13_c02.avi,Gaussian,24.91,0.8745,0.3756,0.0115
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g06_c01.avi,Gaussian,24.9,0.867,0.4018,0.0112
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g18_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g18_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g18_c04.avi,Gaussian,25.25,0.8236,0.4037,0.0114
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c04.avi,Gaussian,25.14,0.822,0.4023,0.0113
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g12_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g12_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g12_c04.avi,Gaussian,25.23,0.8059,0.3758,0.0113
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g15_c02.avi,Gaussian,25.1,0.8641,0.4054,0.0115
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g06_c05.avi,Gaussian,24.93,0.8662,0.402,0.0116
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g22_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g22_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g22_c01.avi,Gaussian,24.62,0.882,0.3758,0.0109
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g01_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g01_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g01_c04.avi,Gaussian,25.29,0.8612,0.4038,0.0113
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g09_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g09_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g09_c05.avi,Gaussian,25.23,0.8191,0.3963,0.0113
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g08_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g08_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g08_c01.avi,Gaussian,25.13,0.8702,0.3755,0.0115
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g11_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g11_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g11_c03.avi,Gaussian,24.9,0.8542,0.3739,0.0116
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g16_c05.avi,Gaussian,25.26,0.7949,0.3944,0.0114
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g06_c03.avi,Gaussian,24.97,0.8664,0.4028,0.0113
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g20_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g20_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g20_c06.avi,Gaussian,24.95,0.8594,0.3911,0.0117
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g13_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g13_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g13_c04.avi,Gaussian,24.92,0.8746,0.3771,0.0114
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g10_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g10_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g10_c04.avi,Gaussian,25.09,0.883,0.4094,0.0116
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g08_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g08_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g08_c04.avi,Gaussian,25.17,0.8611,0.3785,0.0116
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g01_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g01_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g01_c01.avi,Gaussian,25.11,0.8596,0.3974,0.0118
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g03_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g03_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g03_c04.avi,Gaussian,25.41,0.7967,0.3982,0.0118
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g25_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g25_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g25_c02.avi,Gaussian,24.96,0.8427,0.3948,0.0117
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g07_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g07_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g07_c02.avi,Gaussian,24.98,0.8637,0.3805,0.0119
