Input File,Processed From,Processed To,Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g25_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g25_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g25_c06.avi,Poisson,43.98,0.9922,0.0923,0.0073
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g03_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g03_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g03_c04.avi,Poisson,44.58,0.9934,0.0785,0.0075
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g11_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g11_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g11_c03.avi,Poisson,47.59,0.993,0.0608,0.0077
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g14_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g14_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g14_c04.avi,Poisson,44.58,0.9905,0.0816,0.0076
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g13_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g13_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g13_c06.avi,Poisson,43.53,0.9882,0.0937,0.0074
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g01_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g01_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g01_c01.avi,Poisson,45.65,0.9922,0.0691,0.0075
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g20_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g20_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g20_c04.avi,Poisson,43.79,0.9875,0.0897,0.0074
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g16_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g16_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g16_c06.avi,Poisson,46.06,0.995,0.0726,0.0074
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g25_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g25_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g25_c02.avi,Poisson,43.95,0.9922,0.0921,0.0074
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g23_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Poisson/HandstandPushups/v_HandStandPushups_g23_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Poisson/HandstandPushups/denoised_v_HandStandPushups_g23_c03.avi,Poisson,46.74,0.9926,0.0627,0.0073
