Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,39.74,0.9969,0.1402,0.0027
Gaussian,39.53,0.9971,0.1397,0.0027
Gaussian,39.24,0.9962,0.148,0.0027
Gaussian,39.37,0.9959,0.1499,0.002
Gaussian,39.43,0.9974,0.1416,0.0018
Gaussian,39.48,0.997,0.1348,0.0019
Gaussian,39.09,0.9968,0.1488,0.0018
Gaussian,39.72,0.9977,0.1332,0.0018
Gaussian,39.74,0.9971,0.1441,0.0018
Gaussian,39.47,0.9964,0.1432,0.0018
Gaussian,39.58,0.9965,0.1407,0.0019
Gaussian,39.65,0.9978,0.1336,0.0018
Gaussian,39.79,0.9973,0.1427,0.0019
Gaussian,39.61,0.9961,0.1409,0.0019
Gaussian,39.67,0.9975,0.1412,0.0021
Gaussian,39.5,0.9964,0.139,0.0018
Gaussian,39.44,0.9973,0.1352,0.0018
Gaussian,39.49,0.9966,0.1442,0.0018
Gaussian,39.55,0.997,0.1443,0.0018
Gaussian,39.17,0.9957,0.1494,0.0019
Gaussian,39.38,0.9974,0.142,0.0018
Gaussian,39.74,0.9967,0.1377,0.0019
Gaussian,39.62,0.9974,0.1361,0.0018
Gaussian,39.79,0.9975,0.1384,0.002
Gaussian,39.74,0.9974,0.139,0.0019
Gaussian,39.68,0.9976,0.1398,0.0019
Gaussian,39.63,0.9965,0.1417,0.0019
Gaussian,39.5,0.9965,0.1449,0.0018
Gaussian,39.73,0.9974,0.1396,0.0018
Gaussian,39.71,0.9978,0.1324,0.0019
Gaussian,39.49,0.9976,0.1344,0.0019
Gaussian,39.22,0.9964,0.1511,0.0018
Gaussian,39.5,0.9971,0.1341,0.0018
Gaussian,39.67,0.9949,0.1442,0.0019
Gaussian,39.65,0.9977,0.1342,0.0019
Gaussian,39.49,0.9976,0.1399,0.0019
Gaussian,39.63,0.9974,0.142,0.0019
Gaussian,39.7,0.9974,0.1394,0.0018
Gaussian,39.64,0.9954,0.1436,0.0025
Gaussian,39.76,0.9974,0.1419,0.0019
Gaussian,39.61,0.9958,0.1402,0.0018
Gaussian,39.31,0.9963,0.1508,0.0018
Gaussian,39.39,0.9967,0.1425,0.0018
Gaussian,39.62,0.9976,0.1334,0.0018
Gaussian,39.66,0.9979,0.1323,0.0018
Gaussian,39.79,0.9973,0.1431,0.0018
Gaussian,39.88,0.9974,0.1403,0.0018
Gaussian,39.95,0.9977,0.136,0.0018
Gaussian,39.84,0.9973,0.1426,0.0018
Gaussian,39.62,0.9966,0.1413,0.0018
Gaussian,39.51,0.9965,0.1451,0.0018
Gaussian,39.77,0.9975,0.1421,0.0018
Gaussian,39.67,0.9975,0.137,0.0019
Gaussian,39.55,0.9967,0.1449,0.0018
Gaussian,39.71,0.9974,0.1403,0.0019
Gaussian,39.72,0.997,0.1415,0.0018
Gaussian,39.44,0.9968,0.1407,0.002
Gaussian,39.6,0.9964,0.1424,0.0018
Gaussian,39.68,0.9969,0.1401,0.0018
Gaussian,39.42,0.9969,0.1378,0.0018
Gaussian,39.45,0.9974,0.1367,0.0018
Gaussian,39.41,0.9962,0.1438,0.0018
Gaussian,39.68,0.9959,0.1406,0.0019
Gaussian,39.48,0.9966,0.1428,0.0018
Gaussian,39.61,0.9973,0.1377,0.0019
Gaussian,39.66,0.9977,0.136,0.0018
Gaussian,39.48,0.9965,0.1409,0.002
Gaussian,39.7,0.9976,0.1412,0.002
Gaussian,39.54,0.9974,0.1365,0.0018
Gaussian,39.66,0.9965,0.1404,0.002
Gaussian,39.63,0.9966,0.1412,0.0018
Gaussian,39.87,0.9972,0.1431,0.0018
Gaussian,39.82,0.9971,0.1413,0.0019
Gaussian,39.9,0.9975,0.14,0.0018
Gaussian,39.59,0.9953,0.1423,0.0018
Gaussian,39.99,0.9974,0.1424,0.0018
Gaussian,39.38,0.9972,0.1394,0.0018
Gaussian,39.43,0.9963,0.1457,0.0019
Gaussian,39.57,0.9969,0.1378,0.0018
Gaussian,40.01,0.9974,0.1424,0.0018
Gaussian,39.42,0.9974,0.1376,0.0018
Gaussian,39.64,0.9974,0.1359,0.0018
Gaussian,39.53,0.997,0.138,0.0018
Gaussian,39.79,0.9973,0.1405,0.0019
Gaussian,39.7,0.9977,0.1369,0.0018
Gaussian,39.46,0.9964,0.1422,0.0019
Gaussian,39.77,0.9966,0.1406,0.0018
Gaussian,39.74,0.9975,0.1391,0.0018
Gaussian,39.79,0.9973,0.1373,0.0019
Gaussian,39.53,0.9969,0.1377,0.0018
Gaussian,39.74,0.9975,0.1334,0.0018
Gaussian,39.76,0.9974,0.1392,0.0018
Gaussian,39.67,0.9961,0.1394,0.0018
Gaussian,39.53,0.9966,0.1443,0.0018
Gaussian,39.67,0.9975,0.1346,0.0018
Gaussian,39.55,0.9957,0.141,0.0019
Gaussian,39.75,0.9977,0.1372,0.0018
Gaussian,39.65,0.9965,0.1418,0.0018
Gaussian,39.26,0.9966,0.1428,0.0018
Gaussian,39.48,0.9965,0.1434,0.0018
Gaussian,39.74,0.9976,0.1419,0.0018
Gaussian,39.68,0.9976,0.1403,0.0018
Gaussian,39.44,0.9963,0.1451,0.0018
Gaussian,39.55,0.9975,0.1364,0.0018
Gaussian,39.78,0.9974,0.1418,0.0018
Gaussian,39.73,0.9963,0.1411,0.0018
Gaussian,39.92,0.9974,0.1403,0.0019
Gaussian,39.28,0.9958,0.1478,0.0018
Gaussian,39.74,0.9972,0.1385,0.0018
Gaussian,39.65,0.9975,0.1358,0.0018
Gaussian,39.34,0.9966,0.1433,0.0018
Gaussian,39.6,0.9945,0.1459,0.0018
Gaussian,39.74,0.9978,0.1363,0.0018
Gaussian,39.56,0.9972,0.1416,0.0018
Gaussian,39.64,0.9974,0.1364,0.002
Gaussian,39.41,0.997,0.1367,0.0018
Gaussian,39.81,0.9973,0.1416,0.0018
Gaussian,39.9,0.9965,0.1408,0.0019
Gaussian,39.79,0.9977,0.1332,0.0018
Gaussian,39.89,0.9973,0.1411,0.0018
Gaussian,39.83,0.9971,0.1419,0.0018
Gaussian,39.8,0.9973,0.1398,0.0018
Gaussian,39.43,0.997,0.1369,0.0018
Gaussian,39.73,0.9978,0.137,0.0021
Gaussian,39.83,0.9973,0.14,0.0018
Gaussian,39.52,0.9969,0.145,0.0018
Gaussian,39.65,0.9948,0.1448,0.0018
Gaussian,39.7,0.9973,0.1363,0.0019
Gaussian,40.02,0.9976,0.1424,0.0018
Gaussian,39.56,0.9976,0.1354,0.0018
Gaussian,39.73,0.9978,0.1374,0.002
Gaussian,38.99,0.9937,0.1637,0.0019
Gaussian,39.7,0.9967,0.1455,0.0018
Gaussian,39.16,0.9941,0.1483,0.0018
Gaussian,38.81,0.9921,0.1603,0.0019
Gaussian,39.71,0.9968,0.1466,0.0018
Gaussian,39.18,0.9941,0.1474,0.0018
Gaussian,39.3,0.9937,0.1474,0.0018
Gaussian,38.68,0.9926,0.1683,0.0018
Gaussian,38.99,0.9939,0.1619,0.0018
Gaussian,39.06,0.9932,0.1509,0.0019
Gaussian,39.12,0.9935,0.1492,0.0018
Gaussian,39.24,0.9957,0.1489,0.0018
Gaussian,39.02,0.996,0.1434,0.0018
Gaussian,39.71,0.9964,0.1445,0.0018
Gaussian,39.69,0.9965,0.1464,0.0019
Gaussian,39.39,0.9946,0.1443,0.0019
Gaussian,39.38,0.9973,0.1475,0.0018
Gaussian,38.98,0.9937,0.1632,0.0018
Gaussian,39.23,0.9941,0.1502,0.0018
Gaussian,39.63,0.9965,0.1478,0.0018
Gaussian,39.18,0.9942,0.1471,0.0019
Gaussian,39.21,0.9941,0.1466,0.0019
Gaussian,39.32,0.9945,0.1459,0.0019
Gaussian,39.41,0.9943,0.1458,0.0018
Gaussian,39.72,0.9964,0.1445,0.0018
Gaussian,39.01,0.9937,0.1552,0.0018
Gaussian,38.9,0.9922,0.159,0.0019
Gaussian,39.36,0.9973,0.1489,0.0018
Gaussian,39.02,0.9958,0.1634,0.0018
Gaussian,38.8,0.9921,0.1598,0.0018
Gaussian,39.61,0.9965,0.1481,0.0018
Gaussian,39.32,0.9936,0.1541,0.0018
Gaussian,39.41,0.9937,0.1467,0.0018
Gaussian,39.04,0.9939,0.1495,0.0018
Gaussian,39.38,0.9972,0.1494,0.0019
