Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,37.19,0.9944,0.1877,0.002
Gaussian,37.01,0.9948,0.1866,0.0019
Gaussian,36.72,0.9933,0.1963,0.0019
Gaussian,36.84,0.9926,0.199,0.0019
Gaussian,36.96,0.9955,0.1877,0.0018
Gaussian,36.96,0.9947,0.1812,0.0018
Gaussian,36.7,0.9944,0.195,0.0019
Gaussian,37.26,0.9959,0.1786,0.0019
Gaussian,37.18,0.9949,0.1923,0.0018
Gaussian,36.92,0.9936,0.1916,0.0018
Gaussian,37.01,0.9937,0.1889,0.0018
Gaussian,37.15,0.9961,0.1794,0.0019
Gaussian,37.18,0.9951,0.1912,0.0018
Gaussian,37.02,0.9929,0.1892,0.0018
Gaussian,37.06,0.9956,0.1897,0.0019
Gaussian,36.94,0.9936,0.1865,0.0018
Gaussian,36.94,0.9952,0.1812,0.0018
Gaussian,36.94,0.9939,0.1928,0.0018
Gaussian,36.99,0.9946,0.1926,0.0018
Gaussian,36.68,0.9922,0.1977,0.0018
Gaussian,36.93,0.9954,0.188,0.0018
Gaussian,37.17,0.9941,0.1851,0.0018
Gaussian,37.1,0.9955,0.1824,0.0018
Gaussian,37.18,0.9956,0.1862,0.0019
Gaussian,37.19,0.9955,0.1861,0.0018
Gaussian,37.14,0.9957,0.1868,0.0018
Gaussian,37.09,0.9937,0.1894,0.0018
Gaussian,36.94,0.9936,0.1936,0.0018
Gaussian,37.16,0.9955,0.1876,0.0018
Gaussian,37.21,0.9961,0.1779,0.0018
Gaussian,37.0,0.9957,0.1799,0.0019
Gaussian,36.69,0.9935,0.2004,0.0018
Gaussian,36.99,0.9948,0.1804,0.0018
Gaussian,37.07,0.9907,0.1938,0.0019
Gaussian,37.17,0.9959,0.1799,0.0018
Gaussian,37.02,0.9957,0.1858,0.0018
Gaussian,37.07,0.9954,0.1898,0.0018
Gaussian,37.13,0.9954,0.1874,0.0018
Gaussian,37.03,0.9917,0.1931,0.0017
Gaussian,37.15,0.9954,0.1905,0.002
Gaussian,37.05,0.9924,0.1883,0.0018
Gaussian,36.79,0.9934,0.1997,0.0018
Gaussian,36.89,0.9942,0.1896,0.0018
Gaussian,37.12,0.9958,0.1792,0.0018
Gaussian,37.17,0.9962,0.1775,0.0018
Gaussian,37.18,0.9951,0.1914,0.0017
Gaussian,37.24,0.9954,0.1889,0.0018
Gaussian,37.47,0.996,0.181,0.0018
Gaussian,37.19,0.9952,0.1915,0.0018
Gaussian,37.06,0.9939,0.1897,0.0018
Gaussian,36.94,0.9937,0.1936,0.0019
Gaussian,37.14,0.9956,0.1908,0.0018
Gaussian,37.08,0.9955,0.1848,0.0018
Gaussian,36.98,0.994,0.1936,0.0018
Gaussian,37.14,0.9953,0.1884,0.0018
Gaussian,37.1,0.9947,0.1903,0.0018
Gaussian,36.92,0.9943,0.1876,0.0018
Gaussian,37.07,0.9936,0.1902,0.0018
Gaussian,37.07,0.9944,0.1884,0.0018
Gaussian,36.89,0.9945,0.1847,0.0018
Gaussian,36.94,0.9954,0.1828,0.0018
Gaussian,36.9,0.9933,0.1913,0.0018
Gaussian,37.13,0.9926,0.1881,0.0018
Gaussian,36.93,0.9939,0.191,0.0018
Gaussian,37.12,0.9953,0.1836,0.0018
Gaussian,37.16,0.9959,0.1818,0.0018
Gaussian,36.93,0.9938,0.1887,0.0018
Gaussian,37.09,0.9957,0.1895,0.0018
Gaussian,36.96,0.9954,0.1835,0.0018
Gaussian,37.06,0.9938,0.1886,0.0018
Gaussian,37.06,0.9939,0.1897,0.002
Gaussian,37.18,0.995,0.1923,0.0018
Gaussian,37.2,0.9947,0.19,0.0018
Gaussian,37.22,0.9954,0.1892,0.0018
Gaussian,37.05,0.9915,0.1908,0.0018
Gaussian,37.28,0.9954,0.1917,0.0018
Gaussian,36.87,0.995,0.1861,0.0017
Gaussian,36.92,0.9934,0.1947,0.0018
Gaussian,37.0,0.9945,0.1851,0.0017
Gaussian,37.31,0.9954,0.1915,0.0018
Gaussian,36.9,0.9954,0.184,0.0017
Gaussian,37.12,0.9954,0.1823,0.0018
Gaussian,36.98,0.9946,0.185,0.0018
Gaussian,37.16,0.9951,0.1893,0.0018
Gaussian,37.13,0.996,0.1839,0.0017
Gaussian,36.91,0.9935,0.1904,0.0017
Gaussian,37.15,0.9938,0.1895,0.0019
Gaussian,37.19,0.9955,0.1861,0.0018
Gaussian,37.21,0.9953,0.1848,0.0018
Gaussian,36.98,0.9944,0.1846,0.0018
Gaussian,37.26,0.9957,0.179,0.0018
Gaussian,37.2,0.9954,0.1865,0.0018
Gaussian,37.11,0.9929,0.1871,0.0018
Gaussian,36.97,0.9939,0.1929,0.0018
Gaussian,37.18,0.9956,0.1804,0.0018
Gaussian,36.97,0.9922,0.1896,0.0018
Gaussian,37.15,0.996,0.1848,0.0018
Gaussian,37.09,0.9938,0.1901,0.0018
Gaussian,36.78,0.994,0.1897,0.0018
Gaussian,36.93,0.9938,0.1918,0.0018
Gaussian,37.1,0.9956,0.1909,0.0018
Gaussian,37.06,0.9958,0.1891,0.0018
Gaussian,36.94,0.9934,0.1938,0.0019
Gaussian,36.98,0.9955,0.1833,0.0018
Gaussian,37.12,0.9953,0.1909,0.0018
Gaussian,37.1,0.9933,0.1902,0.0018
Gaussian,37.28,0.9953,0.1887,0.0018
Gaussian,36.77,0.9924,0.1961,0.0019
Gaussian,37.13,0.9949,0.1868,0.0018
Gaussian,37.13,0.9955,0.1821,0.0019
Gaussian,36.84,0.9939,0.1904,0.0018
Gaussian,37.0,0.9899,0.1959,0.0018
Gaussian,37.2,0.9961,0.1827,0.0018
Gaussian,37.03,0.9951,0.1889,0.0018
Gaussian,37.12,0.9954,0.1828,0.0018
Gaussian,36.89,0.9947,0.1832,0.0017
Gaussian,37.19,0.9951,0.1902,0.0017
Gaussian,37.3,0.9937,0.1887,0.0017
Gaussian,37.29,0.9959,0.179,0.0017
Gaussian,37.25,0.9952,0.1899,0.0018
Gaussian,37.19,0.9948,0.1909,0.0018
Gaussian,37.19,0.9951,0.1882,0.0018
Gaussian,36.9,0.9947,0.1836,0.0018
Gaussian,37.13,0.9961,0.1846,0.0018
Gaussian,37.22,0.9952,0.1881,0.0018
Gaussian,36.98,0.9945,0.1931,0.0018
Gaussian,37.03,0.9905,0.1947,0.0018
Gaussian,37.2,0.9953,0.1825,0.0018
Gaussian,37.31,0.9956,0.1916,0.0018
Gaussian,37.05,0.9957,0.1814,0.0018
Gaussian,37.13,0.9961,0.185,0.0018
Gaussian,36.52,0.9886,0.2154,0.0018
Gaussian,37.05,0.994,0.1958,0.0018
Gaussian,36.66,0.9893,0.1975,0.0018
Gaussian,36.41,0.9856,0.2108,0.0018
Gaussian,37.06,0.9942,0.1972,0.0018
Gaussian,36.68,0.9893,0.1965,0.0018
Gaussian,36.81,0.9886,0.197,0.0018
Gaussian,36.32,0.9867,0.2189,0.0018
Gaussian,36.51,0.9888,0.2134,0.0018
Gaussian,36.62,0.9877,0.2001,0.0018
Gaussian,36.65,0.9882,0.1984,0.0018
Gaussian,36.68,0.9921,0.1982,0.0018
Gaussian,36.55,0.9927,0.1915,0.0018
Gaussian,37.09,0.9934,0.1942,0.0018
Gaussian,37.06,0.9937,0.1966,0.0018
Gaussian,36.82,0.9901,0.1937,0.0018
Gaussian,36.84,0.9951,0.1967,0.0018
Gaussian,36.51,0.9885,0.2146,0.0018
Gaussian,36.68,0.9893,0.2007,0.0018
Gaussian,36.96,0.9937,0.1981,0.0018
Gaussian,36.67,0.9895,0.1961,0.0018
