Noise Type,Video Category,Video Name,Average PSNR,Average SSIM,Average VIF,Average Processing Time (ms),Frames Per Second (FPS)
SaltPepper,Hammering,v_Hammering_g19_c04.avi,29.189034940292682,0.5763985408750649,0.6269418302546726,75.24496517824323,13.289925746276321
SaltPepper,Fencing,v_Fencing_g03_c04.avi,28.723758584482717,0.7965855737397944,0.6160821217171689,75.17827064432997,13.301715927079803
SaltPepper,PizzaTossing,v_PizzaTossing_g18_c01.avi,29.002122451553678,0.6365713582194735,0.6411408632993698,75.59794629061663,13.227872568862654
SaltPepper,SkateBoarding,v_SkateBoarding_g08_c05.avi,28.200149153128955,0.7682414199605988,0.6253441456291411,75.20693099057233,13.296646822689207
SaltPepper,ThrowDiscus,v_ThrowDiscus_g08_c03.avi,28.303476323217286,0.48561198833027935,0.5987778109052907,75.46314363894255,13.251502015136733
SaltPepper,ApplyEyeMakeup,v_ApplyEyeMakeup_g04_c02.avi,28.454415497888643,0.6503265993167262,0.5493986733031996,75.42004729762222,13.259074156421633
SaltPepper,Mixing,v_Mixing_g02_c05.avi,28.87580889433402,0.7104529233456779,0.5931701390324412,75.38913552825515,13.264510767936969
SaltPepper,PlayingViolin,v_PlayingViolin_g13_c03.avi,28.11973806164487,0.5976907497105365,0.6000451546075732,75.62793687332508,13.22262699926583
SaltPepper,CliffDiving,v_CliffDiving_g03_c01.avi,30.118212739706657,0.8166576754766028,0.7066584592280181,75.11991780737172,13.312048644199493
SaltPepper,LongJump,v_LongJump_g25_c03.avi,30.59257665433877,0.806370467053111,0.6342119540871873,75.09819531844835,13.315899213816975
SaltPepper,VolleyballSpiking,v_VolleyballSpiking_g07_c05.avi,29.3652291947229,0.7615767126068758,0.5140865971875745,75.19064947616222,13.299526031052986
SaltPepper,TrampolineJumping,v_TrampolineJumping_g14_c02.avi,29.290409643617966,0.7361031640082617,0.6939477501477737,75.07954518347329,13.319206949859398
SaltPepper,SoccerJuggling,v_SoccerJuggling_g23_c02.avi,31.386395556617078,0.7827224790851918,0.5514975885550181,75.26608208815257,13.28619707916758
SaltPepper,Surfing,v_Surfing_g20_c06.avi,29.96524930228725,0.8496252754866189,0.6100524935483012,75.18373585115529,13.300749007468132
SaltPepper,HighJump,v_HighJump_g08_c02.avi,28.714924474661412,0.6345354098848364,0.5958238565004789,75.29947492811415,13.280305087846443
SaltPepper,TennisSwing,v_TennisSwing_g17_c03.avi,30.261233255647586,0.8267302346224595,0.6199143346693876,75.09825641302754,13.315888380952167
SaltPepper,BaseballPitch,v_BaseballPitch_g11_c01.avi,29.46939567723043,0.7795845525076955,0.6271989179345278,75.09985795387855,13.315604413181912
SaltPepper,Swing,v_Swing_g21_c05.avi,29.511640794001483,0.8019682390019758,0.6347233650103137,75.17473851863424,13.302340915387699
SaltPepper,Rowing,v_Rowing_g20_c04.avi,29.3109618851292,0.7472123080914536,0.6823854341226465,75.1818488625919,13.301082842850493
SaltPepper,JavelinThrow,v_JavelinThrow_g14_c03.avi,28.497402748117874,0.5943016376922108,0.6420523419099695,75.14041077856923,13.308418062111654
SaltPepper,BlowDryHair,v_BlowDryHair_g03_c01.avi,29.298619032217765,0.8303876369215469,0.6040169772719532,75.28522346593157,13.282819044198293
SaltPepper,PlayingFlute,v_PlayingFlute_g21_c03.avi,29.238724710420477,0.756266826515776,0.62566743434315,75.25974596050423,13.287315645800781
SaltPepper,PullUps,v_PullUps_g10_c02.avi,30.118820229791947,0.8610383213678926,0.6136440917246604,75.17151749892042,13.30291090657258
SaltPepper,ParallelBars,v_ParallelBars_g15_c02.avi,28.571383405511313,0.601694371692269,0.6363566517829895,75.33332232771248,13.274338222464605
SaltPepper,PlayingDhol,v_PlayingDhol_g04_c04.avi,30.028555404422132,0.7871308728077889,0.570429849508615,75.34316392420563,13.272604280409418
SaltPepper,Diving,v_Diving_g08_c05.avi,29.193063809318343,0.756732718353165,0.6383267648758427,75.17958610288558,13.301483179642267
SaltPepper,Punch,v_Punch_g16_c05.avi,29.029274861340635,0.8118763839892686,0.5972942920525869,75.31374136606853,13.277789442691729
SaltPepper,SalsaSpin,v_SalsaSpin_g06_c05.avi,30.312381227760252,0.8538809383405693,0.5970965074207968,75.10397819701782,13.314873912227824
SaltPepper,ApplyLipstick,v_ApplyLipstick_g21_c03.avi,28.839735666967517,0.7818202432106509,0.5717521501587821,75.33282833499509,13.27442526853144
SaltPepper,PlayingTabla,v_PlayingTabla_g11_c03.avi,29.55406170559437,0.792368220558416,0.6282216189200418,75.27832984924316,13.284035418993211
SaltPepper,CuttingInKitchen,v_CuttingInKitchen_g14_c04.avi,28.41144103679256,0.5987853704511414,0.5630858376318094,75.42659798446967,13.257922625728128
SaltPepper,HandstandWalking,v_HandstandWalking_g19_c04.avi,29.02256244797673,0.6252196134763834,0.545036831968709,75.48404546608602,13.247832622448499
SaltPepper,PushUps,v_PushUps_g04_c01.avi,29.462566581914565,0.8152711282985449,0.5794758521593534,75.20417328719255,13.297134404777806
SaltPepper,PlayingDaf,v_PlayingDaf_g06_c03.avi,28.860983690146412,0.6570761829413154,0.5947949686394216,75.4479711705988,13.254166871351053
SaltPepper,FieldHockeyPenalty,v_FieldHockeyPenalty_g17_c04.avi,30.325340323012004,0.903958870242455,0.5961248278617859,75.11045272091785,13.313726169586852
SaltPepper,HandstandPushups,v_HandStandPushups_g03_c04.avi,28.3951220926655,0.6413551872646245,0.5782022939409528,75.42549678257534,13.258116189577663
SaltPepper,PlayingSitar,v_PlayingSitar_g23_c06.avi,29.23678161840982,0.6541324193581501,0.6625327364072595,75.34842161119411,13.27167814025497
