Noise Type,Video Category,Video Name,Average PSNR,Average SSIM,Average VIF,Average Processing Time (ms),Frames Per Second (FPS)
SaltPepper,Hammering,v_Hammering_g19_c04.avi,29.189031483926858,0.5635265765764189,0.6423345897974593,52.23226547241211,19.145254201699853
SaltPepper,Fencing,v_Fencing_g03_c04.avi,28.55008282148748,0.7851961504544136,0.6260515267544604,52.23889807437329,19.14282339141774
SaltPepper,PizzaTossing,v_PizzaTossing_g18_c01.avi,28.997945399907184,0.6051776192771859,0.6930546848862259,52.36367163834748,19.097209357406292
SaltPepper,SkateBoarding,v_SkateBoarding_g08_c05.avi,28.133769578063813,0.7690528797386599,0.6288217620717155,52.2082492157265,19.15406118806937
SaltPepper,ThrowDiscus,v_ThrowDiscus_g08_c03.avi,28.375142047331533,0.47809013774617315,0.6090529835742453,52.24866659744926,19.13924440798685
SaltPepper,ApplyEyeMakeup,v_ApplyEyeMakeup_g04_c02.avi,28.39100355459425,0.6420717558956552,0.5740796056660739,52.229841550191246,19.146142709221724
SaltPepper,Mixing,v_Mixing_g02_c05.avi,28.715028201058313,0.6962977388668153,0.6362696652476852,52.18281294848468,19.163397745292276
SaltPepper,PlayingViolin,v_PlayingViolin_g13_c03.avi,28.214757060102176,0.5857262488515638,0.6527318171290464,52.2675541944282,19.1323281797372
SaltPepper,LongJump,v_LongJump_g25_c03.avi,30.412461303843116,0.7823683098359472,0.6758333218973235,52.196739757128356,19.15828468699394
SaltPepper,CliffDiving,v_CliffDiving_g03_c01.avi,29.94361469822537,0.7647200785590283,0.7841347119082576,52.207133044367254,19.154470695607223
SaltPepper,VolleyballSpiking,v_VolleyballSpiking_g07_c05.avi,29.322348907811257,0.7522086493896546,0.5274954181770946,52.167654037475586,19.168966257935075
SaltPepper,TrampolineJumping,v_TrampolineJumping_g14_c02.avi,29.144952134498055,0.7052854902252846,0.721446175242095,52.24170330830537,19.141795475129932
SaltPepper,SoccerJuggling,v_SoccerJuggling_g23_c02.avi,31.504001071476793,0.769718159193541,0.6672067150473595,52.145652969678245,19.177053945061957
SaltPepper,Surfing,v_Surfing_g20_c06.avi,29.88305728234384,0.8432737678915039,0.6432389929948166,52.13059973992896,19.1825915103382
SaltPepper,HighJump,v_HighJump_g08_c02.avi,28.73320289386745,0.6222939864145792,0.6235539974310459,52.21685996422401,19.150902614311594
SaltPepper,TennisSwing,v_TennisSwing_g17_c03.avi,30.12968011301747,0.8118766802936569,0.65683631952718,52.13509360663325,19.180938036577498
SaltPepper,BaseballPitch,v_BaseballPitch_g11_c01.avi,29.32167768141072,0.760560205633491,0.6581084166581814,52.21351981163025,19.152127717259468
SaltPepper,Swing,v_Swing_g21_c05.avi,29.472508411671377,0.7793754582985635,0.6752786754968747,52.21749894061492,19.15066826806975
SaltPepper,Rowing,v_Rowing_g20_c04.avi,29.154887124149017,0.7365753184872873,0.6880054806961733,52.15884735381681,19.17220281377294
SaltPepper,JavelinThrow,v_JavelinThrow_g14_c03.avi,28.52206684434712,0.5810748265752805,0.6662105345258525,52.25747706843357,19.13601758252611
SaltPepper,BlowDryHair,v_BlowDryHair_g03_c01.avi,29.107050802877076,0.7860986849458428,0.6817448041107081,52.19968461789159,19.15720386665415
SaltPepper,PlayingFlute,v_PlayingFlute_g21_c03.avi,29.124697711628073,0.7392813887956375,0.6524859064061876,52.23075436874175,19.145808098809777
SaltPepper,PullUps,v_PullUps_g10_c02.avi,30.062338654117283,0.8236839752992645,0.6811072333699706,52.21010081340812,19.153381901595356
SaltPepper,ParallelBars,v_ParallelBars_g15_c02.avi,28.56046570406254,0.5914236727529932,0.6590812621445491,52.277338093724744,19.128747492979905
SaltPepper,Diving,v_Diving_g08_c05.avi,29.176127528925832,0.7430357792671384,0.6588460579995186,52.20475350656817,19.15534377294176
SaltPepper,PlayingDhol,v_PlayingDhol_g04_c04.avi,29.87572665681517,0.769072809429092,0.6073917218658466,52.16885715215456,19.168524184522994
SaltPepper,SalsaSpin,v_SalsaSpin_g06_c05.avi,30.159847949702495,0.8128226910192706,0.6832068398327171,52.20320267591648,19.155912831787653
SaltPepper,Punch,v_Punch_g16_c05.avi,28.930814159137892,0.7923842247111549,0.6295416750510534,52.21627632776896,19.151116669500873
SaltPepper,ApplyLipstick,v_ApplyLipstick_g21_c03.avi,28.761155106396263,0.7608296434690401,0.6081032686300211,52.22229357365962,19.148910006978124
SaltPepper,PlayingTabla,v_PlayingTabla_g11_c03.avi,29.498398066851365,0.7788835442232852,0.656586720232378,52.21652817307857,19.151024301833473
SaltPepper,CuttingInKitchen,v_CuttingInKitchen_g14_c04.avi,28.28694238714299,0.592040637406408,0.5789937170184388,52.2445415963932,19.140755559218782
SaltPepper,HandstandWalking,v_HandstandWalking_g19_c04.avi,29.011100338278787,0.6144989027567813,0.5728502809105063,52.23189439988674,19.14539021587102
SaltPepper,PushUps,v_PushUps_g04_c01.avi,29.475858616691287,0.8000128824311165,0.6124814061018137,52.20696952316787,19.154530690700796
SaltPepper,PlayingDaf,v_PlayingDaf_g06_c03.avi,28.748482016595545,0.6549591800328889,0.5994811678381176,52.209887011297816,19.153460335656497
SaltPepper,HandstandPushups,v_HandStandPushups_g03_c04.avi,28.4031779512638,0.6371032236167874,0.5962254316466196,52.23421777997698,19.144538628150595
SaltPepper,FieldHockeyPenalty,v_FieldHockeyPenalty_g17_c04.avi,30.503837072156717,0.8492315140807496,0.7376293382012701,52.21062108694789,19.153191040088767
SaltPepper,PlayingSitar,v_PlayingSitar_g23_c06.avi,29.215056340585008,0.6512992663180612,0.6774360369668656,52.22834209269157,19.14669238830639
SaltPepper,Haircut,v_Haircut_g19_c03.avi,28.29699713100372,0.7185013692119057,0.589736198540777,52.26835701614618,19.132034314587134
SaltPepper,CleanAndJerk,v_CleanAndJerk_g25_c03.avi,30.174393187757037,0.832721153237223,0.6510335338803438,52.177167855776275,19.165471049791655
SaltPepper,BoxingPunchingBag,v_BoxingPunchingBag_g01_c06.avi,29.212708274961145,0.7367287119717256,0.6218780918819148,52.20784355954426,19.15421001557892
SaltPepper,UnevenBars,v_UnevenBars_g16_c04.avi,28.377510090953624,0.6257715575687939,0.659639790058136,52.24228858947754,19.141581025633254
SaltPepper,PlayingCello,v_PlayingCello_g22_c01.avi,28.568351950980425,0.7369304809558967,0.6047420056413584,52.21370036499973,19.152061489791045
