Noise Type,Video Category,Video Name,Average PSNR,Average SSIM,Average VIF,Average Processing Time (ms),Frames Per Second (FPS)
SaltPepper,Hammering,v_Hammering_g19_c04.avi,29.191560334600084,0.5635809606875819,0.6437209791012024,15.458648124437653,64.68870964331995
SaltPepper,Fencing,v_Fencing_g03_c04.avi,28.56002599551991,0.7857540043663099,0.626009353297822,15.487232106797238,64.56931704155883
SaltPepper,PizzaTossing,v_PizzaTossing_g18_c01.avi,29.007483024794162,0.6055052857663983,0.6928134494357638,15.554759237501356,64.28900536043497
SaltPepper,SkateBoarding,v_SkateBoarding_g08_c05.avi,28.136702257182012,0.7681666450506824,0.6300518970798563,15.484984274263736,64.57869005795597
SaltPepper,ThrowDiscus,v_ThrowDiscus_g08_c03.avi,28.37800855618652,0.47784897306640656,0.6103729854459348,15.483010333517324,64.5869232441975
SaltPepper,ApplyEyeMakeup,v_ApplyEyeMakeup_g04_c02.avi,28.40310104621148,0.6422728978798694,0.5742636237180594,15.481090906894568,64.594931068756
SaltPepper,Mixing,v_Mixing_g02_c05.avi,28.71680159106334,0.6957671518726256,0.6376156323664898,15.440190160596693,64.76604171313876
SaltPepper,PlayingViolin,v_PlayingViolin_g13_c03.avi,28.225296651788636,0.5860241014103622,0.6514687236658362,15.457813129868619,64.69220397468341
SaltPepper,CliffDiving,v_CliffDiving_g03_c01.avi,29.94047153132367,0.7644814122870328,0.7847686623749526,15.484483345695164,64.58077920165219
SaltPepper,LongJump,v_LongJump_g25_c03.avi,30.41144293938715,0.7827213041327279,0.6757750585254303,15.481309028668592,64.59402096736008
SaltPepper,VolleyballSpiking,v_VolleyballSpiking_g07_c05.avi,29.3174977329577,0.7535195481915249,0.5275522345720336,15.437217645866927,64.77851274369604
SaltPepper,TrampolineJumping,v_TrampolineJumping_g14_c02.avi,29.14067079086297,0.7043255514574488,0.7225801986377832,15.515867799650634,64.45014954448868
SaltPepper,SoccerJuggling,v_SoccerJuggling_g23_c02.avi,31.5001943147405,0.769750987549341,0.6672932721674443,15.407956639925638,64.90153258925749
SaltPepper,Surfing,v_Surfing_g20_c06.avi,29.882192131730466,0.8431122304239301,0.6443409399636464,15.40376412822473,64.91919713102288
SaltPepper,HighJump,v_HighJump_g08_c02.avi,28.738147093024224,0.6221372042816405,0.6248828305138482,15.455590354071724,64.70150780986204
