Noise Type,Video Category,Video Name,Average PSNR,Average SSIM,Average VIF,Average Processing Time (ms),Frames Per Second (FPS)
SaltPepper,Hammering,v_Hammering_g19_c04.avi,29.190878038459445,0.5759473978730504,0.6275561130448674,32.82961148894235,30.460305640132827
SaltPepper,Fencing,v_Fencing_g03_c04.avi,28.72919701806034,0.7966083483360195,0.6167189409124091,32.85006766623639,30.441337599672874
SaltPepper,PizzaTossing,v_PizzaTossing_g18_c01.avi,29.009080878876617,0.6366143011469371,0.6419813914431466,32.924497569048846,30.372521187386763
SaltPepper,SkateBoarding,v_SkateBoarding_g08_c05.avi,28.20034643159436,0.7683362759047443,0.6257739999779949,32.84574658782394,30.445342361945407
SaltPepper,ThrowDiscus,v_ThrowDiscus_g08_c03.avi,28.30458476668137,0.48610748032319634,0.598554894198542,32.78368452320928,30.50297776297987
SaltPepper,ApplyEyeMakeup,v_ApplyEyeMakeup_g04_c02.avi,28.453190023705627,0.6500770601995057,0.5490848363348932,32.93813539273811,30.35994563980299
SaltPepper,Mixing,v_Mixing_g02_c05.avi,28.8776843964598,0.7103961866021412,0.5937770476212373,32.89265407098306,30.401924935639983
SaltPepper,PlayingViolin,v_PlayingViolin_g13_c03.avi,28.126793371867464,0.597698648034087,0.6006090973698816,32.9282422398412,30.369067158709736
SaltPepper,LongJump,v_LongJump_g25_c03.avi,30.59322228714968,0.8060102278589384,0.6349720981834972,32.75728629807294,30.52755930087006
SaltPepper,CliffDiving,v_CliffDiving_g03_c01.avi,30.10716926671327,0.8161511386047622,0.7069574730551761,32.80906055284583,30.479385363359967
SaltPepper,VolleyballSpiking,v_VolleyballSpiking_g07_c05.avi,29.364229267392112,0.761645959730836,0.5139511504838633,32.747995021731356,30.536220594158713
SaltPepper,TrampolineJumping,v_TrampolineJumping_g14_c02.avi,29.288781944616574,0.7361507452374484,0.6945255151482128,32.89366184884284,30.40099349824072
SaltPepper,SoccerJuggling,v_SoccerJuggling_g23_c02.avi,31.383948018495946,0.7825682912761417,0.5518635320166747,32.8084796667099,30.479925012029124
SaltPepper,Surfing,v_Surfing_g20_c06.avi,29.971045689362022,0.8493499724364875,0.6110759064497635,32.90322848728725,30.39215438650246
SaltPepper,HighJump,v_HighJump_g08_c02.avi,28.71481185959712,0.6345769972447722,0.595225548132872,32.81363666567028,30.475134779748533
SaltPepper,TennisSwing,v_TennisSwing_g17_c03.avi,30.264621596034264,0.8272250773661539,0.6188555407009536,32.81634660075894,30.472618179162975
SaltPepper,BaseballPitch,v_BaseballPitch_g11_c01.avi,29.478169474310523,0.7798528355126345,0.6273646348944077,32.814028171392586,30.47477117947392
SaltPepper,Swing,v_Swing_g21_c05.avi,29.515966987776416,0.8018887501248648,0.6351584513389056,32.79400583523423,30.493377510032314
SaltPepper,Rowing,v_Rowing_g20_c04.avi,29.312658836250442,0.7467580899432789,0.6829280757826138,32.946976960874075,30.35179832090641
SaltPepper,JavelinThrow,v_JavelinThrow_g14_c03.avi,28.49704664531696,0.5939146677151244,0.6424249714496089,32.6987949072146,30.582166799650526
